Timestamp,total-bitcoins
2014-07-14 15:49:08,13017825
2014-07-17 15:27:14,13029525
2014-07-20 10:25:51,13041550
2014-07-23 15:25:45,13053350
2014-07-26 19:35:17,13065000
2014-07-29 23:13:58,13076925
2014-08-02 03:21:01,13089475
2014-08-05 07:34:17,13101350
2014-08-08 08:49:43,13113100
2014-08-11 03:41:16,13125200
2014-08-14 00:37:55,13137250
2014-08-16 18:06:29,13148900
2014-08-19 11:33:59,13161350
2014-08-22 07:30:50,13173200
2014-08-25 11:13:02,13185075
2014-08-28 08:45:20,13196900
2014-08-31 02:02:31,13208875
2014-09-03 02:25:57,13220775
2014-09-06 05:35:35,13232850
2014-09-09 04:37:10,13244950
2014-09-12 06:47:41,13256950
2014-09-15 05:16:35,13268850
2014-09-17 22:08:53,13280850
2014-09-20 16:12:15,13292775
2014-09-23 16:07:51,13304875
2014-09-26 15:33:31,13316775
2014-09-30 03:03:23,13328275
2014-10-03 05:50:58,13339975
2014-10-06 06:50:02,13351925
2014-10-09 12:14:21,13363250
2014-10-12 13:45:45,13375075
2014-10-15 20:40:51,13387050
2014-10-18 22:21:22,13398600
2014-10-22 05:41:53,13410525
2014-10-25 06:12:55,13422100
2014-10-28 10:45:21,13433600
2014-10-31 07:47:42,13445425
2014-11-03 01:50:14,13457075
2014-11-06 04:21:03,13468975
2014-11-09 08:40:37,13480725
2014-11-12 12:24:40,13492150
2014-11-15 15:33:53,13503675
2014-11-18 18:25:02,13515425
2014-11-22 02:22:39,13526775
2014-11-25 07:31:37,13538525
2014-11-28 14:50:51,13550150
2014-12-01 19:04:08,13561900
2014-12-05 05:26:13,13573650
2014-12-08 12:43:59,13585425
2014-12-11 16:37:22,13597150
2014-12-15 01:30:22,13609100
2014-12-18 14:05:04,13621000
2014-12-22 03:40:46,13632900
2014-12-25 02:17:34,13644625
2014-12-28 03:02:14,13656150
2014-12-31 01:08:53,13668225
2015-01-03 00:59:15,13679975
2015-01-05 22:49:01,13692025
2015-01-09 02:36:03,13703825
2015-01-12 08:27:29,13715575
2015-01-15 17:49:44,13727200
2015-01-18 21:41:09,13738975
2015-01-22 08:58:26,13750800
2015-01-26 00:44:14,13762350
2015-01-29 07:56:56,13774500
2015-02-01 09:12:52,13786675
2015-02-04 12:28:45,13798400
2015-02-07 12:02:35,13810375
2015-02-10 17:57:37,13822250
2015-02-13 21:54:20,13833600
2015-02-16 23:40:46,13845275
2015-02-19 22:14:58,13857050
2015-02-23 00:17:58,13868600
2015-02-26 07:58:33,13880375
2015-03-01 11:34:39,13892275
2015-03-04 15:14:07,13904100
2015-03-07 23:06:07,13915725
2015-03-11 03:11:10,13927600
2015-03-14 10:31:25,13939200
2015-03-17 18:23:13,13950675
2015-03-21 02:33:59,13962350
2015-03-24 04:18:42,13973875
2015-03-27 02:43:12,13985375
2015-03-30 02:00:31,13996975
2015-04-02 07:14:47,14008650
2015-04-05 09:39:25,14020425
2015-04-08 20:43:57,14032225
2015-04-12 03:01:41,14043950
2015-04-15 11:09:45,14055500
2015-04-18 20:26:18,14066975
2015-04-21 23:39:26,14078775
2015-04-25 07:18:39,14090350
2015-04-28 11:28:13,14101900
2015-05-01 19:44:21,14113375
2015-05-05 03:34:04,14125100
2015-05-08 05:01:13,14136775
2015-05-11 14:28:11,14148450
2015-05-14 16:35:32,14160225
2015-05-17 17:34:23,14171975
2015-05-21 00:54:56,14183600
2015-05-24 10:24:59,14195050
2015-05-27 16:20:18,14206650
2015-05-30 22:35:51,14218200
2015-06-03 03:36:36,14229575
2015-06-06 07:58:17,14241225
2015-06-09 07:30:58,14252850
2015-06-12 09:02:50,14264475
2015-06-15 12:21:18,14276400
2015-06-18 20:27:19,14288100
2015-06-22 04:18:33,14299525
2015-06-25 07:17:49,14311200
2015-06-28 12:17:39,14322875
2015-07-01 18:06:33,14334300
2015-07-04 20:00:03,14345875
2015-07-07 20:44:22,14357600
2015-07-10 22:14:24,14369075
